frequency_hz,eta,gain,eta_g,lcoe_per_mwh,f_recirc,p_net_mw,power_positive,viable,attractive
1.0,0.06,170.0,10.2,175.67797193564726,0.2042483660130719,14.48,True,True,False
1.0,0.06,175.0,10.5,168.78064940699187,0.1984126984126984,15.2,True,True,False
1.0,0.06,180.0,10.8,162.50720529801384,0.19290123456790123,15.919999999999996,True,True,False
1.0,0.06,185.0,11.1,156.77665539077427,0.1876876876876877,16.639999999999997,True,True,False
1.0,0.06,190.0,11.4,151.52145063713064,0.18274853801169588,17.359999999999996,True,True,False
1.0,0.06,195.0,11.7,146.68480201430813,0.1780626780626781,18.08,True,True,False
1.0,0.06,200.0,12.0,142.21862009451036,0.1736111111111111,18.8,True,True,False
1.0,0.06,205.0,12.3,138.08191061141898,0.16937669376693767,19.519999999999996,True,True,False
1.0,0.06,210.0,12.6,134.23951247495066,0.16534391534391535,20.24,True,True,False
1.0,0.06,215.0,12.9,130.66109588984278,0.16149870801033592,20.96,True,True,False
1.0,0.06,220.0,13.2,127.32036011112591,0.15782828282828285,21.679999999999996,True,True,False
1.0,0.06,225.0,13.5,124.19438591818361,0.15432098765432098,22.399999999999995,True,True,False
1.0,0.06,230.0,13.8,121.26310907981906,0.15096618357487923,23.12,True,True,False
1.0,0.06,235.0,14.1,118.50888923169128,0.14775413711583923,23.84,True,True,False
1.0,0.06,240.0,14.4,115.91615458638532,0.14467592592592596,24.559999999999995,True,True,False
1.0,0.06,245.0,14.7,113.47110735758416,0.14172335600907032,25.279999999999998,True,True,False
1.0,0.06,250.0,15.0,111.16147812914734,0.1388888888888889,25.999999999999996,True,True,False
1.0,0.06,255.0,15.3,108.97631993697361,0.13616557734204793,26.719999999999995,True,True,False
1.0,0.06,260.0,15.6,106.90583476946206,0.13354700854700854,27.439999999999998,True,True,False
1.0,0.06,265.0,15.9,104.94122668438006,0.1310272536687631,28.159999999999993,True,True,False
1.0,0.06,270.0,16.2,103.07457689716915,0.1286008230452675,28.88,True,True,False
1.0,0.06,275.0,16.5,101.2987370996064,0.12626262626262624,29.6,True,True,False
1.0,0.06,280.0,16.8,99.60723797844503,0.12400793650793651,30.32,True,True,True
1.0,0.06,285.0,17.1,97.99421046599734,0.12183235867446396,31.039999999999992,True,True,True
1.0,0.06,290.0,17.4,96.45431770222484,0.11973180076628352,31.75999999999999,True,True,True
1.0,0.06,295.0,17.7,94.9826960462058,0.11770244821092278,32.47999999999999,True,True,True
1.0,0.06,300.0,18.0,93.57490376321888,0.11574074074074076,33.2,True,True,True
1.0,0.07,10.0,0.7,nan,2.9761904761904754,-8.32,False,False,False
1.0,0.07,15.0,1.05,nan,1.9841269841269842,-7.48,False,False,False
1.0,0.07,20.0,1.4,nan,1.4880952380952377,-6.639999999999999,False,False,False
1.0,0.07,25.0,1.75,nan,1.1904761904761905,-5.8,False,False,False
